"medal_id","soldier_id","medal_id","award_date","observations"
25,47583,313,"01.12.1938","1"
26,47583,299,"01.12.1938","1"
27,47583,33,"01.12.1938","1"
28,47583,316,"01.12.1938","1"
29,47583,71,"01.12.1938","1"
30,47583,311,"01.12.1938","1"
31,47583,319,"01.12.1938","1"
40,47587,299,"01.12.1938","1"
41,47587,33,"01.12.1938","1"
42,47587,316,"01.12.1938","1"
43,47587,311,"01.12.1938","1"
44,47587,319,"01.12.1938","1"
208,47584,299,"01.12.1938","1"
209,47584,33,"01.12.1938","1"
210,47584,316,"01.12.1938","1"
211,47584,311,"01.12.1938","1"
212,47584,319,"01.12.1938","1"
213,47590,299,"01.12.1938","1"
214,47590,33,"01.12.1938","1"
215,47590,316,"01.12.1938","1"
216,47590,242,"01.12.1938","1"
217,47590,311,"01.12.1938","1"
218,47590,319,"01.12.1938","1"
1301,47853,7,"01.12.1938","1"
1302,47853,311,"01.12.1938","1"
1303,47853,319,"01.12.1938","1"
1619,47586,299,"01.12.1938","1"
1620,47586,33,"01.12.1938","1"
1621,47586,316,"01.12.1938","1"
1622,47586,311,"01.12.1938","1"
1623,47586,319,"01.12.1938","1"
2855,47582,299,"01.12.1938","1"
2856,47582,33,"01.12.1938","1"
2857,47582,316,"01.12.1938","1"
2858,47582,243,"01.12.1938","1"
2859,47582,319,"01.12.1938","1"
3298,47876,299,"01.12.1938","1"
3299,47876,33,"01.12.1938","1"
3300,47876,316,"01.12.1938","1"
3301,47876,295,"01.12.1938","1"
4595,47671,243,"01.12.1938","1"
4596,47671,292,"01.12.1938","1"
4597,47671,295,"01.12.1938","1"
4598,47671,319,"01.12.1938","1"
6705,47648,311,"01.12.1938","1"
6706,47648,292,"01.12.1938","1"
6707,47648,295,"01.12.1938","1"
6708,47648,272,"01.12.1938","1"
6709,47648,319,"01.12.1938","1"
8287,47666,292,"01.12.1938","1"
8676,47939,299,"01.12.1938","1"
8677,47939,33,"01.12.1938","1"
8678,47939,292,"01.12.1938","1"
8679,47939,295,"01.12.1938","1"
8680,47939,319,"01.12.1938","1"
8681,47940,299,"01.12.1938","1"
8682,47940,33,"01.12.1938","1"
8683,47940,316,"01.12.1938","1"
8684,47940,71,"01.12.1938","1"
8685,47940,311,"01.12.1938","1"
8686,47940,292,"01.12.1938","1"
8687,47940,318,"01.12.1938","1"
8688,47940,319,"01.12.1938","1"
9243,47941,4,"01.12.1938","1"
9244,47941,292,"01.12.1938","1"
9245,47941,319,"01.12.1938","1"
9790,47827,298,"01.12.1938","1"
9791,47827,33,"01.12.1938","1"
9792,47827,311,"01.12.1938","1"
9793,47827,292,"01.12.1938","1"
9794,47827,295,"01.12.1938","1"
9795,47827,319,"01.12.1938","1"
9955,47724,298,"01.12.1938","1"
9956,47724,33,"01.12.1938","1"
9957,47724,243,"01.12.1938","1"
9958,47724,295,"01.12.1938","1"
9959,47724,319,"01.12.1938","1"
10795,47581,299,"01.12.1938","1"
10796,47581,33,"01.12.1938","1"
10797,47581,316,"01.12.1938","1"
10798,47581,311,"01.12.1938","1"
10799,47581,319,"01.12.1938","1"
10917,47571,4,"01.12.1938","1"
10918,47571,292,"01.12.1938","1"
11613,47650,33,"01.12.1938","1"
11614,47650,243,"01.12.1938","1"
11615,47650,292,"01.12.1938","1"
11616,47650,295,"01.12.1938","1"
11617,47650,319,"01.12.1938","1"
11888,47848,311,"01.12.1938","1"
11889,47848,319,"01.12.1938","1"
13628,47782,33,"01.12.1938","1"
13629,47782,292,"01.12.1938","1"
13630,47782,319,"01.12.1938","1"
18434,47654,298,"01.12.1938","1"
18435,47654,33,"01.12.1938","1"
18436,47654,243,"01.12.1938","1"
18437,47654,292,"01.12.1938","1"
18675,47734,298,"01.12.1938","1"
18676,47734,33,"01.12.1938","1"
18677,47734,243,"01.12.1938","1"
18678,47734,295,"01.12.1938","1"
18679,47734,319,"01.12.1938","1"
18940,47840,292,"01.12.1938","1"
18941,47840,319,"01.12.1938","1"
19364,47706,292,"01.12.1938","1"
19365,47706,295,"01.12.1938","1"
19366,47706,272,"01.12.1938","1"
19367,47706,319,"01.12.1938","1"
20290,47673,292,"01.12.1938","1"
20291,47673,295,"01.12.1938","1"
20293,47673,319,"01.12.1938","1"
20433,47723,292,"01.12.1938","1"
20434,47723,295,"01.12.1938","1"
20435,47723,271,"01.12.1938","1"
20436,47723,319,"01.12.1938","1"
20931,47541,4,"01.12.1938","1"
20932,47541,298,"01.12.1938","1"
20933,47541,33,"01.12.1938","1"
20934,47541,292,"01.12.1938","1"
21004,47680,298,"01.12.1938","1"
21005,47680,33,"01.12.1938","1"
21006,47680,316,"01.12.1938","1"
21007,47680,242,"01.12.1938","1"
21008,47680,292,"01.12.1938","1"
21009,47680,295,"01.12.1938","1"
21010,47680,319,"01.12.1938","1"
21448,47670,292,"01.12.1938","1"
21449,47670,272,"01.12.1938","1"
21450,47670,319,"01.12.1938","1"
22184,47847,298,"01.12.1938","1"
22185,47847,33,"01.12.1938","1"
22186,47847,243,"01.12.1938","1"
22187,47847,319,"01.12.1938","1"
23836,47594,319,"01.12.1938","1"
24065,47566,311,"01.12.1938","1"
24066,47566,295,"01.12.1938","1"
24077,47540,311,"01.12.1938","1"
24078,47540,319,"01.12.1938","1"
24967,47725,295,"01.12.1938","1"
24968,47725,272,"01.12.1938","1"
24969,47725,319,"01.12.1938","1"
27122,47795,298,"01.12.1938","1"
27123,47795,33,"01.12.1938","1"
27124,47795,316,"01.12.1938","1"
27125,47795,295,"01.12.1938","1"
27126,47795,319,"01.12.1938","1"
28712,47649,292,"01.12.1938","1"
28713,47649,295,"01.12.1938","1"
28886,47662,295,"01.12.1938","1"
29402,47668,292,"01.12.1938","1"
29403,47668,295,"01.12.1938","1"
29854,47828,295,"01.12.1938","1"
29855,47828,319,"01.12.1938","1"
30225,47729,319,"01.12.1938","1"
30792,47707,298,"01.12.1938","1"
30793,47707,33,"01.12.1938","1"
30794,47707,316,"01.12.1938","1"
30795,47707,295,"01.12.1938","1"
30914,47758,33,"01.12.1938","1"
30915,47758,319,"01.12.1938","1"
30971,47792,298,"01.12.1938","1"
30972,47792,33,"01.12.1938","1"
30973,47792,243,"01.12.1938","1"
31986,47651,298,"01.12.1938","1"
31987,47651,33,"01.12.1938","1"
31988,47651,242,"01.12.1938","1"
31989,47651,295,"01.12.1938","1"
31990,47651,319,"01.12.1938","1"
33236,47746,299,"01.12.1938","1"
33237,47746,33,"01.12.1938","1"
33238,47746,295,"01.12.1938","1"
33239,47746,319,"01.12.1938","1"
34098,47661,295,"01.12.1938","1"
34099,47661,319,"01.12.1938","1"
34119,47665,298,"01.12.1938","1"
34120,47665,33,"01.12.1938","1"
34121,47665,243,"01.12.1938","1"
34122,47665,292,"01.12.1938","1"
35313,47548,295,"01.12.1938","1"
35314,47548,272,"01.12.1938","1"
35315,47548,319,"01.12.1938","1"
