"position_id","position_name","abbreviation","info","city","lat","lon"
1013,"1. SS-Reiterstandarte","1. R. Sta.","","Insterburg",54.635533,21.809982
388,"1. SS-Standarte","1. Sta.","","München",48.137108,11.575382
465,"10. SS-Reiterstandarte","10. R. Sta.","","Arolsen",51.381604,9.014766
713,"10. SS-Standarte","10. Sta.","","Kaiserslautern",49.443217,7.768995
1128,"100. SS-Standarte","100. Sta.","","Reichenberg",50.770265,15.058395
991,"101. SS-Standarte","101. Sta.","","Elbogen",50.186001,12.754047
973,"102. SS-Standarte","102. Sta.","","Jägerndorf",50.089937,17.703808
1130,"103. SS-Standarte","103. Sta.","","Aussig",50.668432,14.04088
977,"104. SS-Standarte","104. Sta.","","Troppau",49.932438,17.901184
988,"11. SS-Reiterstandarte","11. R. Sta.","","Breslau",51.108978,17.032669
844,"11. SS-Standarte","11. Sta.","","Wien",48.208354,16.372504
845,"12. SS-Reiterstandarte","12. R. Sta.","","Schwerin",53.62883,11.414804
851,"12. SS-Standarte","12. Sta.","","Hannover",52.374478,9.738553
952,"13. SS-Reiterstandarte","13. R. Sta.","","Mannheim",49.489591,8.467236
365,"13. SS-Standarte","13. Sta.","","Stuttgart",48.778449,9.180013
1005,"14. SS-Reiterstandarte","14. R. Sta.","","Stuttgart",48.778449,9.180013
636,"14. SS-Standarte","14. Sta.","","Gotha",50.946273,10.694527
951,"15. SS-Reiterstandarte","15. R. Sta.","","München",48.137108,11.575382
464,"15. SS-Standarte","15. Sta.","","Neuruppin",52.924386,12.809292
935,"16. SS-Reiterstandarte","16. R. Sta.","","Dresden",51.049329,13.738144
523,"16. SS-Standarte","16. Sta.","","Breslau",51.108978,17.032669
854,"17. SS-Reiterstandarte","17. R. Sta.","","Regensburg",49.019533,12.097487
1138,"17. SS-Standarte","17. Sta.","","Celle",52.624056,10.081052
1083,"18. SS-Reiterstandarte","18. R. Sta.","","Wien",48.208354,16.372504
309,"18. SS-Standarte","18. Sta.","","Königsberg",54.706642,20.510517
417,"19. SS-Standarte","19. Sta.","","Münster",51.950132,7.613302
1174,"2. SS-Reiterstandarte","2. R. Sta.","","Marienburg",54.035936,19.034882
684,"2. SS-Standarte","2. Sta.","","Frankfurt (Main)",35.234308,25.029375
788,"20. SS-Standarte","20. Sta.","","Düsseldorf",51.225402,6.776314
1108,"21. SS-Reiterstandarte","21. R. Sta.","","Hannover",52.374478,9.738553
986,"21. SS-Standarte","21. Sta.","","Magdeburg",52.131589,11.639961
736,"22. SS-Standarte","22. Sta.","","Schwerin",53.62883,11.414804
307,"23. SS-Standarte","23. Sta.","","Beuthen",50.347039,18.923186
407,"24. SS-Standarte","24. Sta.","","Oldenburg",53.138975,8.214602
653,"25. SS-Standarte","25. Sta.","","Essen",51.457087,7.011429
471,"26. SS-Standarte","26. Sta.","","Halle (Saale)",51.482504,11.970545
742,"27. SS-Standarte","27. Sta.","","Frankfurt (Oder)",52.341227,14.549452
754,"28. SS-Standarte","28. Sta.","","Hamburg",53.550341,10.000654
997,"29. SS-Standarte","29. Sta.","","Lindau",47.550753,9.692662
1012,"3. SS-Reiterstandarte","3. R. Sta.","","Treuburg",54.039138,22.493814
425,"3. SS-Standarte","3. Sta.","","Nürnberg",49.453872,11.077298
245,"30. SS-Standarte","30. Sta.","","Bochum",51.481811,7.219664
650,"31. SS-Standarte","31. Sta.","","Landshut",48.536217,12.151655
689,"32. SS-Standarte","32. Sta.","","Heidelberg",49.409358,8.694724
518,"33. SS-Standarte","33. Sta.","","Darmstadt",49.872775,8.651177
275,"34. SS-Standarte","34. Sta.","","München",48.137108,11.575382
573,"35. SS-Standarte","35. Sta.","","Kassel",51.309021,9.476298
688,"36. SS-Standarte","36. Sta.","","Danzig",54.347629,18.645232
993,"37. SS-Standarte","37. Sta.","","Linz",48.305908,14.286198
1125,"38. SS-Standarte","38. Sta.","","Graz",47.070256,15.438572
784,"39. SS-Standarte","39. Sta.","","Köslin",54.19092,16.17707
493,"4. SS-Reiterstandarte","4. R. Sta.","","Hamburg",53.550341,10.000654
710,"4. SS-Standarte","4. Sta.","","Altona",53.586468,9.77767
676,"40. SS-Standarte","40. Sta.","","Kiel",54.341816,10.144404
466,"41. SS-Standarte","41. Sta.","","Bayreuth",49.94272,11.576308
748,"42. SS-Standarte","42. Sta.","","Berlin",52.517037,13.38886
664,"43. SS-Standarte","43. Sta.","","Frankenstein",49.437775,7.979182
1015,"44. SS-Standarte","44. Sta.","","Eberswalde",52.83515,13.799701
306,"45. SS-Standarte","45. Sta.","","Oppeln",50.666818,17.923641
944,"46. SS-Standarte","46. Sta.","","Dresden",51.049329,13.738144
635,"47. SS-Standarte","47. Sta.","","Gera",50.87723,12.079621
253,"48. SS-Standarte","48. Sta.","","Leipzig",51.339183,12.381055
703,"49. SS-Standarte","49. Sta.","","Goslar",51.905994,10.426628
1038,"5. SS-Reiterstandarte","5. R. Sta.","","Stettin",53.430182,14.550962
1048,"5. SS-Standarte","5. Sta.","","Trier",49.759621,6.644188
461,"50. SS-Standarte","50. Sta.","","Flensburg",54.783302,9.433326
740,"51. SS-Standarte","51. Sta.","","Göttingen",51.53276,9.935205
1047,"52. SS-Standarte","52. Sta.","","Krems",48.409809,15.606319
850,"53. SS-Standarte","53. Sta.","","Heide",54.194846,9.092902
785,"54. SS-Standarte","54. Sta.","","Landsberg (Warthe)",52.598429,14.609963
793,"55. SS-Standarte","55. Sta.","","Verden",52.922341,9.228153
711,"56. SS-Standarte","56. Sta.","","Bamberg",49.892672,10.887615
433,"58. SS-Standarte","58. Sta.","","Köln",50.938361,6.959974
787,"59. SS-Standarte","59. Sta.","","Straßburg",48.584614,7.750713
777,"6. SS-Reiterstandarte","6. R. Sta.","","Düsseldorf",51.225402,6.776314
731,"6. SS-Standarte","6. Sta.","","Berlin",52.517037,13.38886
637,"60. SS-Standarte","60. Sta.","","Insterburg",54.635533,21.809982
834,"61. SS-Standarte","61. Sta.","","Allenstein",53.775411,20.481225
473,"62. SS-Standarte","62. Sta.","","Karlsruhe",49.006871,8.40342
745,"63. SS-Standarte","63. Sta.","","Tübingen",48.523616,9.053553
948,"64. SS-Standarte","64. Sta.","","Marienwerder",53.733584,18.931922
720,"65. SS-Standarte","65. Sta.","","Freiburg (Breisgau)",47.995807,7.771255
994,"66. SS-Standarte","66. Sta.","","Elbing",54.155871,19.404458
447,"67. SS-Standarte","67. Sta.","","Erfurt",50.977797,11.028736
651,"68. SS-Standarte","68. Sta.","","Regensburg",49.019533,12.097487
774,"69. SS-Standarte","69. Sta.","","Hagen (Westfalen)",51.358295,7.473296
677,"7. SS-Reiterstandarte","7. R. Sta.","","Berlin",52.517037,13.38886
746,"7. SS-Standarte","7. Sta.","","Plauen",50.495063,12.134652
496,"70. SS-Standarte","70. Sta.","","Glogau",51.664155,16.090471
691,"71. SS-Standarte","71. Sta.","","Danzig",54.347629,18.645232
783,"72. SS-Standarte","72. Sta.","","Detmold",51.936284,8.879153
931,"73. SS-Standarte","73. Sta.","","Ansbach",49.302861,10.572229
1011,"74. SS-Standarte","74. Sta.","","Greifswald",54.095791,13.381524
807,"75. SS-Standarte","75. Sta.","","Berlin",52.517037,13.38886
921,"76. SS-Standarte","76. Sta.","","Salzburg",47.798135,13.046481
802,"78. SS-Standarte","78. Sta.","","Wiesbaden",50.0833,8.25
747,"79. SS-Standarte","79. Sta.","","Ulm",48.397394,9.993276
469,"8. SS-Reiterstandarte","8. R. Sta.","","Paderborn",51.71896,8.76487
829,"8. SS-Standarte","8. Sta.","","Hirschberg",50.903103,15.734431
726,"80. SS-Standarte","80. Sta.","","Berlin",52.517037,13.38886
776,"81. SS-Standarte","81. Sta.","","Würzburg",49.79245,9.932966
786,"82. SS-Standarte","82. Sta.","","Bielefeld",52.010877,8.540868
706,"83. SS-Standarte","83. Sta.","","Gießen",50.586207,8.674231
1010,"84. SS-Standarte","84. Sta.","","Chemnitz",50.832261,12.925298
696,"85. SS-Standarte","85. Sta.","","Saarbrücken",49.234362,6.996379
814,"86. SS-Standarte","86. Sta.","","Offenburg",48.471656,7.944378
561,"87. SS-Standarte","87. Sta.","","Innsbruck",47.269515,11.397137
820,"88. SS-Standarte","88. Sta.","","Bremen",53.07582,8.807165
924,"89. SS-Standarte","89. Sta.","","Wien",48.208354,16.372504
1062,"9. SS-Reiterstandarte","9. R. Sta.","","Bremen",53.07582,8.807165
810,"9. SS-Standarte","9. Sta.","","Stettin",53.430182,14.550962
672,"90. SS-Standarte","90. Sta.","","Klagenfurt",46.622816,14.30796
681,"91. SS-Standarte","91. Sta.","","Wittenberg",51.866653,12.646761
645,"92. SS-Standarte","92. Sta.","","Ingolstadt",48.763017,11.42504
501,"93. SS-Standarte","93. Sta.","","Koblenz",50.353328,7.594395
727,"94. SS-Standarte","94. Sta.","","Leoben",47.382742,15.094214
1139,"95. SS-Standarte","95. Sta.","","Trautenau",50.560885,15.91305
1133,"96. SS-Standarte","96. Sta.","","Brür",59.639335,11.292193
1136,"97. SS-Standarte","97. Sta.","","Eger",47.898989,20.374367
1140,"98. SS-Standarte","98. Sta.","","Mährisch-Schönberg",49.965552,16.970565
980,"99. SS-Standarte","99. Sta.","","Znaim",48.855434,16.048946
102,"beim Stab SS-Abschnitt I","b. Stab Ab. I","","München",48.137108,11.575382
402,"beim Stab SS-Abschnitt II","b. Stab Ab. II","","Chemnitz",50.832261,12.925298
92,"beim Stab SS-Abschnitt III","b. Stab Ab. III","","Berlin",52.517037,13.38886
124,"beim Stab SS-Abschnitt IV","b. Stab Ab. IV","","Hannover",52.374478,9.738553
782,"beim Stab SS-Abschnitt IX","b. Stab Ab. IX","","Würzburg",49.79245,9.932966
261,"beim Stab SS-Abschnitt V","b. Stab Ab. V","","Essen",51.457087,7.011429
909,"beim Stab SS-Abschnitt VI","b. Stab Ab. VI","","Breslau",51.108978,17.032669
130,"beim Stab SS-Abschnitt VII","b. Stab Ab. VII","","Königsberg",54.706642,20.510517
107,"beim Stab SS-Abschnitt VIII","b. Stab Ab. VIII","","Linz",48.305908,14.286198
615,"beim Stab SS-Abschnitt X","b. Stab Ab. X","","Stuttgart",48.778449,9.180013
704,"beim Stab SS-Abschnitt XI","b. Stab Ab. XI","","Koblenz",50.353328,7.594395
326,"beim Stab SS-Abschnitt XII","b. Stab Ab. XII","","Frankfurt (Oder)",52.341227,14.549452
263,"beim Stab SS-Abschnitt XIII","b. Stab Ab. XIII","","Stettin",53.430182,14.550962
151,"beim Stab SS-Abschnitt XIV","b. Stab Ab. XIV","","Bremen",53.07582,8.807165
455,"beim Stab SS-Abschnitt XIX","b. Stab Ab. XIX","","Karlsruhe",49.006871,8.40342
208,"beim Stab SS-Abschnitt XV","b. Stab Ab. XV","","Altona",53.586468,9.77767
197,"beim Stab SS-Abschnitt XVI","b. Stab Ab. XVI","","Magdeburg",52.131589,11.639961
226,"beim Stab SS-Abschnitt XVII","b. Stab Ab. XVII","","Münster",51.950132,7.613302
184,"beim Stab SS-Abschnitt XVIII","b. Stab Ab. XVIII","","Halle (Saale)",51.482504,11.970545
678,"beim Stab SS-Abschnitt XX","b. Stab Ab. XX","","Kiel",54.341816,10.144404
617,"beim Stab SS-Abschnitt XXI","b. Stab Ab. XXI","","Hirschberg",50.903103,15.734431
443,"beim Stab SS-Abschnitt XXII","b. Stab Ab. XXII","","Allenstein",53.775411,20.481225
413,"beim Stab SS-Abschnitt XXIII","b. Stab Ab. XXIII","","Berlin",52.517037,13.38886
359,"beim Stab SS-Abschnitt XXIV","b. Stab Ab. XXIV","","Oppeln",50.666818,17.923641
39,"beim Stab SS-Abschnitt XXIX","b. Stab Ab. XXIX","","Konstanz",47.659216,9.175072
346,"beim Stab SS-Abschnitt XXV","b. Stab Ab. XXV","","Bochum",51.481811,7.219664
140,"beim Stab SS-Abschnitt XXVI","b. Stab Ab. XXVI","","Danzig",54.347629,18.645232
79,"beim Stab SS-Abschnitt XXVII","b. Stab Ab. XXVII","","Weimar",50.980281,11.329086
118,"beim Stab SS-Abschnitt XXVIII","b. Stab Ab. XXVIII","","Bayreuth",49.94272,11.576308
1143,"beim Stab SS-Abschnitt XXX","b. Stab Ab. XXX","","Kassel",51.309021,9.476298
227,"beim Stab SS-Abschnitt XXXI","b. Stab Ab. XXXI","","Wien",48.208354,16.372504
37,"beim Stab SS-Abschnitt XXXII","b. Stab Ab. XXXII","","Augsburg",48.366804,10.898697
119,"beim Stab SS-Abschnitt XXXIII","b. Stab Ab. XXXIII","","Schwerin",53.62883,11.414804
146,"beim Stab SS-Abschnitt XXXV","b. Stab Ab. XXXV","","Graz",47.070256,15.438572
218,"beim Stab SS-Abschnitt XXXVI","b. Stab Ab. XXXVI","","Innsbruck",47.269515,11.397137
360,"beim Stab SS-Abschnitt XXXVII","b. Stab Ab. XXXVII","","Reichenberg",50.770265,15.058395
48,"beim Stab SS-Oberabschnitt Donau","b. Stab Oa. Donau","","Wien",48.208354,16.372504
40,"beim Stab SS-Oberabschnitt Elbe","b. Stab Oa. Elbe","","Dresden",51.049329,13.738144
35,"beim Stab SS-Oberabschnitt Fulda-Werra","b. Stab Oa. Fulda-Werra","","Arolsen",51.381604,9.014766
60,"beim Stab SS-Oberabschnitt Main","b. Stab Oa. Main","","Nürnberg",49.453872,11.077298
47,"beim Stab SS-Oberabschnitt Mitte","b. Stab Oa. Mitte","","Braunschweig",52.264658,10.523607
85,"beim Stab SS-Oberabschnitt Nord","b. Stab Oa. Nord","","Stettin",53.430182,14.550962
64,"beim Stab SS-Oberabschnitt Nordost","b. Stab Oa. Nordost","","Königsberg",54.706642,20.510517
56,"beim Stab SS-Oberabschnitt Nordwest","b. Stab Oa. Nordwest","","Hamburg",53.550341,10.000654
52,"beim Stab SS-Oberabschnitt Ost","b. Stab Oa. Ost","","Berlin",52.517037,13.38886
65,"beim Stab SS-Oberabschnitt Rhein","b. Stab Oa. Rhein","","Wiesbaden",50.0833,8.25
76,"beim Stab SS-Oberabschnitt Süd","b. Stab Oa. Süd","","München",48.137108,11.575382
68,"beim Stab SS-Oberabschnitt Südost","b. Stab Oa. Südost","","Breslau",51.108978,17.032669
57,"beim Stab SS-Oberabschnitt Südwest","b. Stab Oa. Südwest","","Stuttgart",48.778449,9.180013
101,"beim Stab SS-Oberabschnitt West","b. Stab Oa. West","","Düsseldorf",51.225402,6.776314
498,"Führer 1. SS-Reiterstandarte","F. 1. R. Sta.","","Insterburg",54.635533,21.809982
196,"Führer 1. SS-Standarte","F. 1. Sta.","","München",48.137108,11.575382
907,"Führer 10. SS-Reiterstandarte","F. 10. R. Sta.","","Arolsen",51.381604,9.014766
327,"Führer 10. SS-Standarte","F. 10. Sta.","","Kaiserslautern",49.443217,7.768995
576,"Führer 100. SS-Standarte","F. 100. Sta.","","Reichenberg",50.770265,15.058395
330,"Führer 101. SS-Standarte","F. 101. Sta.","","Elbogen",50.186001,12.754047
361,"Führer 102. SS-Standarte","F. 102. Sta.","","Jägerndorf",50.089937,17.703808
499,"Führer 103. SS-Standarte","F. 103. Sta.","","Aussig",50.668432,14.04088
483,"Führer 104. SS-Standarte","F. 104. Sta.","","Troppau",49.932438,17.901184
274,"Führer 11. SS-Reiterstandarte","F. 11. R. Sta.","","Breslau",51.108978,17.032669
556,"Führer 11. SS-Standarte","F. 11. Sta.","","Wien",48.208354,16.372504
825,"Führer 12. SS-Reiterstandarte","F. 12. R. Sta.","","Schwerin",53.62883,11.414804
231,"Führer 12. SS-Standarte","F. 12. Sta.","","Hannover",52.374478,9.738553
418,"Führer 13. SS-Reiterstandarte","F. 13. R. Sta.","","Mannheim",49.489591,8.467236
482,"Führer 13. SS-Standarte","F. 13. Sta.","","Stuttgart",48.778449,9.180013
296,"Führer 14. SS-Reiterstandarte","F. 14. R. Sta.","","Stuttgart",48.778449,9.180013
345,"Führer 14. SS-Standarte","F. 14. Sta.","","Gotha",50.946273,10.694527
276,"Führer 15. SS-Reiterstandarte","F. 15. R. Sta.","","München",48.137108,11.575382
349,"Führer 15. SS-Standarte","F. 15. Sta.","","Neuruppin",52.924386,12.809292
356,"Führer 16. SS-Reiterstandarte","F. 16. R. Sta.","","Dresden",51.049329,13.738144
837,"Führer 17. SS-Reiterstandarte","F. 17. R. Sta.","","Regensburg",49.019533,12.097487
416,"Führer 17. SS-Standarte","F. 17. Sta.","","Celle",52.624056,10.081052
1131,"Führer 18. SS-Reiterstandarte","F. 18. R. Sta.","","Wien",48.208354,16.372504
216,"Führer 18. SS-Standarte","F. 18. Sta.","","Königsberg",54.706642,20.510517
178,"Führer 19. SS-Standarte","F. 19. Sta.","","Münster",51.950132,7.613302
933,"Führer 2. SS-Reiterstandarte","F. 2. R. Sta.","","Marienburg",54.035936,19.034882
238,"Führer 2. SS-Standarte","F. 2. Sta.","","Frankfurt (Main)",35.234308,25.029375
217,"Führer 20. SS-Standarte","F. 20. Sta.","","Düsseldorf",51.225402,6.776314
541,"Führer 21. SS-Reiterstandarte","F. 21. R. Sta.","","Hannover",52.374478,9.738553
633,"Führer 21. SS-Standarte","F. 21. Sta.","","Magdeburg",52.131589,11.639961
357,"Führer 22. SS-Standarte","F. 22. Sta.","","Schwerin",53.62883,11.414804
155,"Führer 23. SS-Standarte","F. 23. Sta.","","Beuthen",50.347039,18.923186
414,"Führer 24. SS-Standarte","F. 24. Sta.","","Oldenburg",53.138975,8.214602
421,"Führer 25. SS-Standarte","F. 25. Sta.","","Essen",51.457087,7.011429
335,"Führer 26. SS-Standarte","F. 26. Sta.","","Halle (Saale)",51.482504,11.970545
194,"Führer 27. SS-Standarte","F. 27. Sta.","","Frankfurt (Oder)",52.341227,14.549452
535,"Führer 28. SS-Standarte","F. 28. Sta.","","Hamburg",53.550341,10.000654
366,"Führer 29. SS-Standarte","F. 29. Sta.","","Lindau",47.550753,9.692662
494,"Führer 3. SS-Reiterstandarte","F. 3. R. Sta.","","Treuburg",54.039138,22.493814
237,"Führer 3. SS-Standarte","F. 3. Sta.","","Nürnberg",49.453872,11.077298
162,"Führer 30. SS-Standarte","F. 30 Sta.","","Bochum",51.481811,7.219664
240,"Führer 31. SS-Standarte","F. 31. Sta.","","Landshut",48.536217,12.151655
334,"Führer 32. SS-Standarte","F. 32. Sta","","Heidelberg",49.409358,8.694724
301,"Führer 33. SS-Standarte","F. 33. Sta.","","Darmstadt",49.872775,8.651177
554,"Führer 33. SS-Standarte","F. 33. Sta.","","München",48.137108,11.575382
215,"Führer 34. SS-Standarte","F. 34. Sta.","","Kassel",51.309021,9.476298
220,"Führer 35. SS-Standarte","F. 35. Sta.","","Danzig",54.347629,18.645232
321,"Führer 36. SS-Standarte","F. 36. Sta.","","Linz",48.305908,14.286198
219,"Führer 37. SS-Standarte","F. 37. Sta.","","Graz",47.070256,15.438572
191,"Führer 39. SS-Standarte","F. 39. Sta.","","Köslin",54.19092,16.17707
836,"Führer 4. SS-Reiterstandarte","F. 4. R. Sta.","","Hamburg",53.550341,10.000654
189,"Führer 4. SS-Standarte","F. 4. Sta.","","Altona",53.586468,9.77767
161,"Führer 40. SS-Standarte","F. 40. Sta.","","Kiel",54.341816,10.144404
175,"Führer 41. SS-Standarte","F. 41. Sta.","","Bayreuth",49.94272,11.576308
157,"Führer 42. SS-Standarte","F. 42. Sta.","","Berlin",52.517037,13.38886
159,"Führer 43. SS-Standarte","F. 43. Sta.","","Frankenstein",49.437775,7.979182
203,"Führer 44. SS-Standarte","F. 44. Sta.","","Eberswalde",52.83515,13.799701
154,"Führer 45. SS-Standarte","F. 45. Sta.","","Oppeln",50.666818,17.923641
370,"Führer 46. SS-Standarte","F. 46. Sta.","","Dresden",51.049329,13.738144
129,"Führer 47. SS-Standarte","F. 47. Sta.","","Gera",50.87723,12.079621
339,"Führer 48. SS-Standarte","F. 48. Sta.","","Leipzig",51.339183,12.381055
384,"Führer 49. SS-Standarte","F. 49. Sta.","","Goslar",51.905994,10.426628
965,"Führer 5. SS-Reiterstandarte","F. 5. R. Sta.","","Stettin",53.430182,14.550962
221,"Führer 5. SS-Standarte","F. 5. Sta.","","Trier",49.759621,6.644188
160,"Führer 50. SS-Standarte","F. 50. Sta.","","Flensburg",54.783302,9.433326
209,"Führer 51. SS-Standarte","F. 51. Sta.","","Göttingen",51.53276,9.935205
328,"Führer 52. SS-Standarte","F. 52. Sta.","","Krems",48.409809,15.606319
128,"Führer 53. SS-Standarte","F. 53. Sta.","","Heide",54.194846,9.092902
193,"Führer 54. SS-Standarte","F. 54. Sta.","","Landsberg (Warthe)",52.598429,14.609963
236,"Führer 55. SS-Standarte","F. 55. Sta.","","Verden",52.922341,9.228153
167,"Führer 56. SS-Standarte","F. 56. Sta.","","Bamberg",49.892672,10.887615
121,"Führer 58. SS-Standarte","F. 58. Sta.","","Köln",50.938361,6.959974
271,"Führer 59. SS-Standarte","F. 59. Sta.","","Straßburg",48.584614,7.750713
1059,"Führer 6. SS-Reiterstandarte","F. 6. R. Sta.","","Düsseldorf",51.225402,6.776314
186,"Führer 6. SS-Standarte","F. 6. Sta.","","Berlin",52.517037,13.38886
336,"Führer 60. SS-Standarte","F. 60. Sta.","","Insterburg",54.635533,21.809982
230,"Führer 61. SS-Standarte","F. 61. Sta.","","Allenstein",53.775411,20.481225
